ebl,ibl,gtop,itop,count
20,0.190000000000001,"(4,(1,(2,3)));","(4,(1,(2,3)));",1531
20,0.190000000000001,"(4,(1,(2,3)));","(4,(2,(1,3)));",1558
20,0.190000000000001,"(4,(1,(2,3)));","(4,(3,(1,2)));",3093
20,0.190000000000001,"(4,(2,(1,3)));","(4,(1,(2,3)));",1615
20,0.190000000000001,"(4,(2,(1,3)));","(4,(2,(1,3)));",1534
20,0.190000000000001,"(4,(2,(1,3)));","(4,(3,(1,2)));",3110
20,0.190000000000001,"(4,(3,(1,2)));","(4,(1,(2,3)));",3977
20,0.190000000000001,"(4,(3,(1,2)));","(4,(2,(1,3)));",3862
20,0.190000000000001,"(4,(3,(1,2)));","(4,(3,(1,2)));",7989
20,0.0300000000000011,"(4,(1,(2,3)));","(4,(1,(2,3)));",901
20,0.0300000000000011,"(4,(1,(2,3)));","(4,(2,(1,3)));",560
20,0.0300000000000011,"(4,(1,(2,3)));","(4,(3,(1,2)));",581
20,0.0300000000000011,"(4,(2,(1,3)));","(4,(1,(2,3)));",528
20,0.0300000000000011,"(4,(2,(1,3)));","(4,(2,(1,3)));",828
20,0.0300000000000011,"(4,(2,(1,3)));","(4,(3,(1,2)));",666
20,0.0300000000000011,"(4,(3,(1,2)));","(4,(1,(2,3)));",629
20,0.0300000000000011,"(4,(3,(1,2)));","(4,(2,(1,3)));",611
20,0.0300000000000011,"(4,(3,(1,2)));","(4,(3,(1,2)));",1161
20,0.0799999999999983,"(4,(1,(2,3)));","(4,(1,(2,3)));",1052
20,0.0799999999999983,"(4,(1,(2,3)));","(4,(2,(1,3)));",1070
20,0.0799999999999983,"(4,(1,(2,3)));","(4,(3,(1,2)));",1638
20,0.0799999999999983,"(4,(2,(1,3)));","(4,(1,(2,3)));",1038
20,0.0799999999999983,"(4,(2,(1,3)));","(4,(2,(1,3)));",1025
20,0.0799999999999983,"(4,(2,(1,3)));","(4,(3,(1,2)));",1638
20,0.0799999999999983,"(4,(3,(1,2)));","(4,(1,(2,3)));",1610
20,0.0799999999999983,"(4,(3,(1,2)));","(4,(2,(1,3)));",1534
20,0.0799999999999983,"(4,(3,(1,2)));","(4,(3,(1,2)));",2384
20,0.140000000000001,"(4,(1,(2,3)));","(4,(1,(2,3)));",2015
20,0.140000000000001,"(4,(1,(2,3)));","(4,(2,(1,3)));",1968
20,0.140000000000001,"(4,(1,(2,3)));","(4,(3,(1,2)));",2942
20,0.140000000000001,"(4,(2,(1,3)));","(4,(1,(2,3)));",2050
20,0.140000000000001,"(4,(2,(1,3)));","(4,(2,(1,3)));",2020
20,0.140000000000001,"(4,(2,(1,3)));","(4,(3,(1,2)));",2947
20,0.140000000000001,"(4,(3,(1,2)));","(4,(1,(2,3)));",4109
20,0.140000000000001,"(4,(3,(1,2)));","(4,(2,(1,3)));",4069
20,0.140000000000001,"(4,(3,(1,2)));","(4,(3,(1,2)));",5676
20,0.170000000000002,"(4,(1,(2,3)));","(4,(1,(2,3)));",923
20,0.170000000000002,"(4,(1,(2,3)));","(4,(2,(1,3)));",908
20,0.170000000000002,"(4,(1,(2,3)));","(4,(3,(1,2)));",1406
20,0.170000000000002,"(4,(2,(1,3)));","(4,(1,(2,3)));",921
20,0.170000000000002,"(4,(2,(1,3)));","(4,(2,(1,3)));",936
20,0.170000000000002,"(4,(2,(1,3)));","(4,(3,(1,2)));",1364
20,0.170000000000002,"(4,(3,(1,2)));","(4,(1,(2,3)));",1931
20,0.170000000000002,"(4,(3,(1,2)));","(4,(2,(1,3)));",1976
20,0.170000000000002,"(4,(3,(1,2)));","(4,(3,(1,2)));",2856
20,0.25,"(4,(1,(2,3)));","(4,(1,(2,3)));",550
20,0.25,"(4,(1,(2,3)));","(4,(2,(1,3)));",527
20,0.25,"(4,(1,(2,3)));","(4,(3,(1,2)));",1215
20,0.25,"(4,(2,(1,3)));","(4,(1,(2,3)));",476
20,0.25,"(4,(2,(1,3)));","(4,(2,(1,3)));",513
20,0.25,"(4,(2,(1,3)));","(4,(3,(1,2)));",1179
20,0.25,"(4,(3,(1,2)));","(4,(1,(2,3)));",1540
20,0.25,"(4,(3,(1,2)));","(4,(2,(1,3)));",1547
20,0.25,"(4,(3,(1,2)));","(4,(3,(1,2)));",3542
20,0.5,"(4,(1,(2,3)));","(4,(1,(2,3)));",770
20,0.5,"(4,(1,(2,3)));","(4,(2,(1,3)));",680
20,0.5,"(4,(1,(2,3)));","(4,(3,(1,2)));",712
20,0.5,"(4,(2,(1,3)));","(4,(1,(2,3)));",612
20,0.5,"(4,(2,(1,3)));","(4,(2,(1,3)));",651
20,0.5,"(4,(2,(1,3)));","(4,(3,(1,2)));",652
20,0.5,"(4,(3,(1,2)));","(4,(1,(2,3)));",3935
20,0.5,"(4,(3,(1,2)));","(4,(2,(1,3)));",3873
20,0.5,"(4,(3,(1,2)));","(4,(3,(1,2)));",4015
20,1,"(4,(1,(2,3)));","(4,(1,(2,3)));",327
20,1,"(4,(1,(2,3)));","(4,(2,(1,3)));",291
20,1,"(4,(1,(2,3)));","(4,(3,(1,2)));",396
20,1,"(4,(2,(1,3)));","(4,(1,(2,3)));",273
20,1,"(4,(2,(1,3)));","(4,(2,(1,3)));",281
20,1,"(4,(2,(1,3)));","(4,(3,(1,2)));",399
20,1,"(4,(3,(1,2)));","(4,(1,(2,3)));",6320
20,1,"(4,(3,(1,2)));","(4,(2,(1,3)));",6059
20,1,"(4,(3,(1,2)));","(4,(3,(1,2)));",8274
