,"1,2","1,3","1,4","2,3","2,4","3,4"
2772,180.386,186.968,228.502,186.968,228.502,228.502
2773,184.13,186.12,228.777,186.12,228.777,228.777
2774,180.276,187.518,226.20499999999998,187.518,226.20499999999998,226.20499999999998
2775,180.55,186.984,226.40700000000004,186.984,226.40700000000004,226.40699999999998
2776,181.38,186.10500000000002,227.31399999999996,186.10500000000002,227.31399999999996,227.313
2777,180.872,187.19800000000004,226.06400000000002,187.19800000000004,226.06400000000002,226.06400000000002
2778,180.866,186.449,227.19700000000003,186.449,227.19700000000003,227.198
2779,181.074,187.35,226.34300000000002,187.35,226.34300000000002,226.34300000000002
2780,183.734,186.229,228.15800000000002,186.229,228.15800000000002,228.159
2781,180.47,186.542,226.79199999999997,186.542,226.79199999999997,226.79199999999997
2782,180.132,186.29100000000003,231.11200000000002,186.29100000000003,231.11200000000002,231.111
2783,180.01,186.08,229.156,186.08,229.156,229.156
2784,181.086,186.76800000000003,226.45600000000002,186.76800000000003,226.45600000000002,226.45600000000002
2785,182.288,187.25900000000001,226.603,187.25900000000001,226.603,226.602
2786,180.016,186.27399999999997,227.72499999999997,186.27399999999997,227.72499999999997,227.72499999999997
2787,180.81,186.39600000000002,226.318,186.39600000000002,226.318,226.31799999999998
2788,181.148,186.01000000000002,226.24200000000002,186.01000000000002,226.24200000000002,226.24199999999996
2789,181.128,187.647,228.15499999999997,187.647,228.15499999999997,228.154
2790,180.518,187.746,226.226,187.746,226.226,226.22600000000003
2791,184.722,186.71099999999998,226.111,186.71099999999998,226.111,226.11199999999997
2792,180.748,186.346,227.08499999999998,186.346,227.08499999999998,227.08500000000004
2793,180.404,188.33700000000002,226.82600000000002,188.33700000000002,226.82600000000002,226.82500000000005
2794,180.308,186.88599999999997,226.62599999999998,186.88599999999997,226.62599999999998,226.62599999999998
2795,180.886,186.37099999999998,226.551,186.37099999999998,226.551,226.55
2796,180.542,190.222,228.06400000000002,190.222,228.06400000000002,228.06400000000002
2797,180.718,187.53799999999998,226.76899999999998,187.53799999999998,226.76899999999998,226.769
2798,181.654,186.09,226.17399999999998,186.09,226.17399999999998,226.17399999999998
2799,180.064,186.614,226.03199999999998,186.614,226.03199999999998,226.03199999999998
2800,183.284,186.8,227.422,186.8,227.422,227.422
2801,180.656,188.41000000000003,226.23700000000002,188.41000000000003,226.23700000000002,226.23700000000002
2802,181.25,186.614,226.768,186.614,226.768,226.76800000000003
2803,181.566,187.385,226.17499999999998,187.385,226.17499999999998,226.17600000000002
2804,181.456,186.22799999999998,226.845,186.22799999999998,226.845,226.845
2805,180.3,191.0,227.91199999999998,191.0,227.91199999999998,227.91200000000003
2806,180.028,186.902,226.016,186.902,226.016,226.016
2807,180.126,186.63299999999998,226.51500000000001,186.63299999999998,226.51500000000001,226.516
2808,180.816,186.2,226.698,186.2,226.698,226.698
2809,180.532,186.268,227.016,186.268,227.016,227.016
2810,180.91,186.16,226.264,186.16,226.264,226.264
2811,180.35,186.692,226.45999999999998,186.692,226.45999999999998,226.46000000000004
2812,180.332,186.1,229.34099999999998,186.1,229.34099999999998,229.34099999999998
2813,180.36,187.238,227.444,187.238,227.444,227.444
2814,181.098,186.19800000000004,227.11800000000002,186.19800000000004,227.11800000000002,227.118
2815,180.172,187.046,226.438,187.046,226.438,226.438
2816,180.654,188.28099999999998,226.67999999999998,188.28099999999998,226.67999999999998,226.67899999999997
2817,182.97,187.98799999999997,226.806,187.98799999999997,226.806,226.806
2818,180.726,186.92399999999998,226.144,186.92399999999998,226.144,226.144
2819,180.146,193.114,227.14999999999998,193.114,227.14999999999998,227.14999999999998
2820,180.288,188.25900000000001,227.64099999999996,188.25900000000001,227.64099999999996,227.64
2821,180.302,188.184,227.006,188.184,227.006,227.00599999999997
2822,180.978,187.116,227.86200000000002,187.116,227.86200000000002,227.86200000000002
2823,181.032,187.686,226.074,187.686,226.074,226.074
2824,180.15,186.198,226.15400000000002,186.198,226.15400000000002,226.15400000000002
2825,180.378,186.95599999999996,226.63599999999997,186.95599999999996,226.63599999999997,226.63599999999997
2826,182.166,186.842,227.538,186.842,227.538,227.538
2827,180.604,186.14000000000001,227.24200000000002,186.14000000000001,227.24200000000002,227.24200000000002
2828,180.59,186.724,228.53199999999998,186.724,228.53199999999998,228.53199999999998
2829,183.18,186.276,228.175,186.276,228.175,228.175
